"time","outputs"
0,10 0 0 0
0.001,9.990000003170682 0.009999996829318347 0 0
0.002,9.98031411182089 0.01999999576989066 0 0
0.003,9.970942031755721 0.02999998103035365 0 0
0.004,9.961883159099894 0.03999993681936562 0 0
0.005,9.953136580909272 0.04999984734563143 0 0
0.006,9.944701076087378 0.0599996968179274 0 0
0.007,9.936575116606036 0.06999946944512629 0 0
0.008,9.928756869028906 0.07999914943622216 0 0
0.009000000000000001,9.921244196336421 0.08999872100035541 0 0
0.01,9.91403466005033 0.09999816834683761 0 0
0.011,9.90712552265574 0.1099974756851765 0 0
0.012,9.900513750318268 0.119996627225101 0 0
0.013,9.89419601589363 0.1299956071765859 0 0
0.014,9.888168702226688 0.1399943997498771 0 0
0.015,9.8824279057367 0.1499929891555163 0 0
0.016,9.876969440285245 0.159991359604366 0 0
0.017,9.871788841322994 0.1699894953076345 0 0
0.018,9.866881370311232 0.179987380476901 0 0
0.019,9.862242019413783 0.18998499932414 0 0
0.02,9.857865516454698 0.1999823360617467 0 0
0.021,9.853746330136808 0.2099793749025618 0 0
0.022,9.849878675516003 0.2199761000598965 0 0
0.023,9.846256519725829 0.2299724957475571 0 0
0.024,9.842873587946752 0.2399685461798705 0 0
0.025,9.8397233696142 0.2499642355717085 0 0
0.026,9.83679912485926 0.2599595481385134 0 0
0.027,9.834093891175666 0.269954468096322 0 0
0.028,9.831600490306501 0.2799489796617917 0 0
0.029,9.829311535343827 0.2899430670522243 0 0
0.03,9.827219438034216 0.2999367144855918 0 0
0.031,9.825316416282996 0.3099299061805609 0 0
0.032,9.823594501849785 0.3199226263565176 0 0
0.033,9.822045548227729 0.329914859233593 0 0
0.034,9.820661238698674 0.3399065890326874 0 0
0.035,9.819433094556304 0.3498977999754957 0 0
0.036,9.818352483489152 0.3598884762845319 0 0
0.037,9.817410628115189 0.3698786021831545 0 0
0.038,9.816598614659592 0.3798681618955911 0 0
0.039,9.815907401767102 0.3898571396469634 0 0
0.04,9.815327829440296 0.3998455196633121 0 0
0.041,9.814850628094938 0.4098332861716216 0 0
0.042,9.814466427723483 0.4198204233998454 0 0
0.043,9.814165767157684 0.4298069155769306 0 0
0.044,9.813939103421159 0.4397927469328429 0 0
0.045,9.813776821162698 0.4497779016985917 0 0
0.046,9.813669242160985 0.4597623641062546 0 0
0.047,9.813606634891382 0.4697461183890026 0 0
0.048,9.813579224145291 0.4797291487811249 0 0
0.049,9.813577200692645 0.489711439518054 0 0
0.05,9.813590730977966 0.4996929748363901 0 0
0.051,9.81360996684043 0.5096737389739265 0 0
0.052,9.813625055248339 0.5196537161696745 0 0
0.053,9.813626148038409 0.5296328906638876 0 0
0.054,9.81360341165024 0.5396112466980875 0 0
0.055,9.813547036846384 0.5495887685150876 0 0
0.056,9.813447248408403 0.5595654403590195 0 0
0.057,9.813294314799354 0.5695412464753562 0 0
0.058,9.813078557783159 0.5795161711109383 0 0
0.059,9.812790361991386 0.5894901985139984 0 0
0.06,9.812420184427967 0.5994633129341856 0 0
0.061,9.811958563902513 0.6094354986225912 0 0
0.062,9.811396130382875 0.6194067398317725 0 0
0.063,9.81072361425775 0.6293770208157788 0 0
0.064,9.809931855500192 0.6393463258301755 0 0
0.065,9.809011812722959 0.6493146391320691 0 0
0.066,9.807954572116779 0.6592819449801324 0 0
